ra,dec,z,class,zWarning
174.53963,23.916947,0.03332634,GALAXY,0
176.34094,25.126996,0,GALAXY,134
174.56688,24.019924,0.06704177,GALAXY,0
174.45984,24.559001,0.1546895,GALAXY,0
174.38212,24.149259,1.145817,QSO,0
174.30567,24.519999,0.180637,GALAXY,0
174.35548,24.4771,0.1544253,GALAXY,0
174.52451,24.27366,0.271364,GALAXY,0
174.62097,23.34073,0.1102602,GALAXY,0
174.65984,23.346684,0.1380072,GALAXY,0
174.61911,23.577582,0.1546226,QSO,0
174.61493,23.279618,0.05053514,GALAXY,0
174.71448,23.815881,2.436412E-05,STAR,0
174.61541,23.297509,0.1384788,GALAXY,0
174.53584,23.396163,0.02976245,GALAXY,0
174.64737,23.201456,0.1093448,GALAXY,0
174.63768,23.410195,0.1382419,GALAXY,0
174.5381,23.659902,0.1560295,GALAXY,0
174.70128,23.476039,0.08266909,GALAXY,0
174.59256,23.657614,0.06714521,GALAXY,0
174.57957,23.705638,0.08920099,GALAXY,0
174.63102,23.827644,0.108729,GALAXY,0
174.66167,23.324063,0.1385778,GALAXY,0
174.59615,23.798517,0.1555731,GALAXY,0
174.69229,23.547585,1.013483,QSO,5
174.71774,23.446504,0.02126744,GALAXY,0
174.60364,23.517449,0.03074431,GALAXY,0
174.56722,23.566444,0.0005719781,STAR,0
174.02003,23.972253,0.4375516,QSO,0
174.05083,24.495491,0.1304287,GALAXY,0
173.97478,24.294764,0.6426859,GALAXY,5
173.87229,24.00074,0.1364276,GALAXY,0
174.03996,23.960942,0.4358143,GALAXY,0
173.88861,24.1126,0.1831492,GALAXY,0
173.80139,24.531909,0.1294855,GALAXY,0
173.93747,24.158883,0.4850429,QSO,0
173.89755,23.998446,0.1362099,GALAXY,0
174.00819,24.688106,0.01195208,GALAXY,0
174.19597,24.34306,0.2983198,GALAXY,0
174.08048,24.48035,0.1297638,GALAXY,0
174.00307,24.27277,0.4160449,GALAXY,0
174.26742,24.096257,0.03404706,GALAXY,0
174.04119,24.602287,0.1636057,GALAXY,0
173.78707,24.47269,0.03407294,GALAXY,0
173.7754,24.606811,0.03370191,GALAXY,0
173.85794,23.863729,0.1343314,GALAXY,0
174.02166,23.936081,0.1351687,GALAXY,0
174.15315,24.624718,0.06975685,GALAXY,0
174.22919,23.351291,0.1551955,GALAXY,0
174.27528,23.528966,0.03249286,GALAXY,0
174.51488,23.467065,0.157097,GALAXY,0
174.32645,23.342032,0.08230615,GALAXY,0
174.49373,23.82904,0.1371644,GALAXY,0
174.35907,23.334778,0.1770664,GALAXY,0
174.44891,23.6509,0.1572857,GALAXY,0
174.43401,23.51161,0.06697986,GALAXY,0
174.41679,23.534305,0.06691454,GALAXY,0
174.48089,23.521214,0.1570932,GALAXY,0
174.30932,23.779401,0.1547703,GALAXY,0
174.35456,23.830083,0.08605259,GALAXY,0
174.37863,23.355774,0.1831479,GALAXY,0
174.4184,23.795745,0.06876439,GALAXY,0
174.30691,23.289425,0.04942709,GALAXY,0
174.25515,23.78296,0.08631291,GALAXY,0
174.44011,23.535095,0.1559515,GALAXY,0
174.41506,23.567068,-0.0003430185,STAR,9
174.29098,23.535301,-4.33174E-05,STAR,0
174.44419,23.745536,0.1370044,GALAXY,0
173.31576,24.446893,0.02308438,GALAXY,0
173.69775,24.144792,0.07947256,GALAXY,0
173.64007,24.594358,0.08432639,GALAXY,0
173.47326,23.875352,0.09071293,GALAXY,0
173.39491,24.432634,0.06806897,GALAXY,0
173.71901,23.948901,1.622138,QSO,0
173.44388,24.365822,0.2356235,QSO,5
173.48627,24.346426,0.1822267,GALAXY,0
173.27641,24.336665,0.04886836,GALAXY,0
173.44831,24.180375,0.08000947,GALAXY,0
173.47892,24.245104,-0.0002379477,STAR,0
173.26321,24.403629,0.02350485,GALAXY,0
173.46111,24.558447,0.03422834,GALAXY,0
173.77612,24.160469,0.1558908,GALAXY,0
173.3934,24.534307,0.02323264,GALAXY,0
173.62839,24.412987,0.03335528,GALAXY,0
173.62068,24.638164,0.1545103,GALAXY,0
173.73837,24.468173,0.1487565,GALAXY,0
173.67829,24.442781,0.4544455,GALAXY,0
173.73202,24.603555,1.799984,QSO,0
173.97269,23.693953,1.56427,QSO,0
174.16902,23.402041,0.2162936,GALAXY,0
173.89176,23.8428,0.5515532,QSO,0
173.94529,23.693168,0.1305419,GALAXY,0
173.64807,23.818734,-9.158291E-05,STAR,0
173.8382,23.517017,0.03296079,GALAXY,0
173.9294,23.657009,0.4796415,QSO,0
173.93898,23.787402,0.04367814,GALAXY,0
174.09871,23.433645,-9.970927E-05,STAR,0
173.91497,23.697213,0.1779267,GALAXY,0
173.99872,23.695174,0.05565054,GALAXY,0
174.00949,23.820925,0.3138207,GALAXY,0
173.90822,23.668035,1.08019,QSO,0
174.1633,23.653978,0.1540098,GALAXY,0
173.78762,23.58739,0.1532176,GALAXY,0
174.15167,23.375522,0.0494914,GALAXY,0
174.13217,23.802051,-5.905097E-05,STAR,0
173.98756,23.618104,6.559072,QSO,5
174.07119,23.768609,0.1786501,GALAXY,0
174.06595,23.691769,0.1379492,GALAXY,0
173.35215,24.929372,0.0001589279,STAR,0
173.24576,24.753198,0.4284815,QSO,0
173.37014,25.142366,0.03312568,GALAXY,0
173.31925,25.243417,0.03384375,GALAXY,0
173.42123,25.14494,0.03392534,GALAXY,0
173.38695,25.221657,0.0009754418,STAR,0
173.35862,25.004925,0.2525613,GALAXY,0
173.46795,24.838993,0.11186,GALAXY,0
176.30584,25.098684,0,GALAXY,134
173.39678,24.780194,0.3007319,GALAXY,0
173.29119,25.03012,0.2424224,QSO,0
173.42831,25.081133,0.1328484,GALAXY,0
173.46715,25.185829,0.05890502,GALAXY,0
173.41249,24.684622,0.022675,GALAXY,0
173.20568,24.69435,2.286979,QSO,0
173.39321,25.052722,-0.004021414,STAR,13
173.35485,24.894693,0.00059479,STAR,0
173.28209,24.652573,0.02341342,GALAXY,0
173.35388,24.984363,0.03324697,GALAXY,0
173.35828,25.248025,0.03460535,GALAXY,0
173.57344,25.47691,-0.001247242,STAR,13
173.83034,25.625526,0.0489526,GALAXY,0
173.53537,25.538488,0.09296817,GALAXY,0
173.90833,25.800333,0.2423359,GALAXY,0
173.54264,25.56312,0.07449375,GALAXY,0
173.84538,25.499326,1.409437,QSO,0
173.85737,25.654578,0.3084171,GALAXY,0
173.46772,25.49442,0.06866521,GALAXY,0
173.70072,25.55508,0.07281661,GALAXY,0
